Rank,Name,Total Points,Quiksilver Pro Gold Coast,Rip Curl Pro Bells Beach,Santa Catarina Pro,Billabong Pro J-Bay,Billabong Pro Teahupoo,Hurley Pro Trestles,Quiksilver Pro France,Rip Curl Pro Portugal,Rip Curl Search,Billabong Pipe Masters,Billabong Rio Pro,Quiksilver Pro New York,Volcom Fiji Pro,O'Neill Coldwater Classic Santa Cruz,Oakley Pro Bali
1,Kelly Slater,"69,000","3,750","10,000","8,000","1,750","6,500","10,000","8,000","10,000","10,000","6,500",,,,,
2,Jordy Smith,"52,250","8,000","5,250","5,250","10,000","1,750","5,250","5,250","8,000","5,250","5,250",,,,,
3,Mick Fanning,"44,750","3,750","8,000","3,750","3,750","3,750","6,500","10,000","1,750","5,250","1,750",,,,,
4,Dane Reynolds,"42,000","6,500","1,750","6,500","5,250","3,750","6,500","1,750",500,"5,250","6,500",,,,,
4,Taj Burrow,"42,000","10,000","6,500","1,750","6,500",500,"5,250","1,750","1,750","6,500","3,750",,,,,
6,Bede Durbidge,"39,000","5,250","5,250","1,750","6,500",500,"8,000",500,-,"8,000","3,750",,,,,
7,Owen Wright,"37,250","1,750","1,750","6,500","3,750","3,750","5,250","3,750","5,250","3,750","5,250",,,,,
7,Adrian Buchan,"37,250","3,750","3,750","1,750","3,750","5,250","3,750","6,500","5,250",500,"5,250",,,,,
9,Jeremy Flores,"35,750","1,750","1,750","3,750",500,"6,500",500,"1,750","6,500","3,750","10,000",,,,,
10,Adriano de Souza,"32,000","5,250","5,250","3,750","5,250","3,750","1,750",500,500,"5,250","1,750",,,,,
11,Michel Bourez,"31,750",500,"3,750","5,250","1,750","3,750","1,750","5,250","3,750","6,500","1,750",,,,,
12,Damien Hobgood,"29,000","3,750",500,"1,750","5,250","3,750","3,750","1,750","5,250",500,"3,750",,,,,
13,Jadson Andre,"27,000","1,750","3,750","10,000",500,500,"1,750","3,750","3,750",500,"1,750",,,,,
14,Kieren Perrow,"26,750","3,750",500,"1,750",500,500,"5,250","5,250",500,"1,750","8,000",,,,,
14,Chris Davidson,"26,750","3,750","1,750","3,750","1,750","1,750","3,750","1,750","6,500","3,750",500,,,,,
16,C.J. Hobgood,"25,750","1,750",500,"5,250",500,"8,000","3,750","1,750","1,750","1,750","1,750",,,,,
17,Taylor Knox,"25,000","1,750","1,750","5,250",500,500,"1,750","3,750","1,750","3,750","5,250",,,,,
18,Andy Irons,"22,500","1,750","3,750",500,"3,750","10,000","1,750",500,500,500,-,,,,,
19,Freddy Patacchia Jr.,"21,500","3,750","3,750","1,750","1,750","5,250",500,"1,750",500,"1,750","1,750",,,,,
20,Bobby Martinez,"21,000","6,500","6,500","1,750","1,750",500,500,500,"1,750","1,750",500,,,,,
21,Tiago Pires,"20,250","1,750","3,750","1,750","3,750","5,250","1,750",500,500,"1,750",500,,,,,
22,Patrick Gudauskas,"19,750","1,750","1,750","1,750",500,"5,250",500,"1,750","5,250",500,"1,750",,,,,
23,Brett Simpson,"19,500","1,750","1,750",500,"3,750",500,"1,750","6,500","1,750","1,750",500,,,,,
24,Matt Wilkinson,"18,000",500,"1,750","1,750","3,750","1,750","1,750",500,"3,750","1,750","1,750",,,,,
24,Joel Parkinson,"18,000","5,250","5,250","3,750",500,500,500,500,500,-,"1,750",,,,,
24,Dusty Payne,"18,000","1,750","1,750",500,"3,750","1,750","1,750",500,"1,750","1,750","3,750",,,,,
27,Adam Melling,"17,250",500,500,500,"8,000","3,750","1,750",500,500,500,"1,750",,,,,
28,Daniel Ross,"17,000","3,750","1,750","1,750",500,500,500,"5,250","1,750","1,750",500,,,,,
30,Kai Otton,"12,500","5,250","1,750",500,500,500,500,"1,750","1,750",500,-,,,,,
31,Tom Whitaker,"12,250","1,750","1,750","1,750",500,500,500,"3,750","1,750",500,500,,,,,
31,Luke Stedman,"12,250","1,750","3,750",500,"1,750","1,750","1,750",500,500,500,-,,,,,
33,Roy Powers,"11,750",500,"3,750","3,750",500,500,500,500,500,"1,750",-,,,,,
34,Luke Munro,"11,000","1,750",500,"3,750",500,"1,750",500,"1,750",500,500,500,,,,,
35,Dean Morrison,"8,500","1,750",500,500,"1,750","1,750",-,-,"1,750",-,500,,,,,
37,Neco Padaratz,"6,250",500,"1,750","1,750","1,750",500,-,-,-,-,-,,,,,
37,Kekoa Bacalso,"6,250","1,750",500,"1,750","1,750",500,-,-,-,-,-,,,,,
37,Ben Dunn,"6,250",500,500,"1,750","1,750","1,750",-,-,-,-,-,,,,,
37,Tanner Gudauskas,"6,250",500,"1,750","1,750","1,750",500,-,-,-,-,-,,,,,
41,Nathan Yeomans,"5,000",500,500,500,"1,750","1,750",-,-,-,-,-,,,,,
41,Jay Thompson,"5,000",500,500,500,"1,750","1,750",-,-,-,-,-,,,,,
43,Marco Polo,"3,750",500,500,500,500,"1,750",-,-,-,-,-,,,,,
43,Drew Courtney,"3,750",500,"1,750",500,500,500,-,-,-,-,-,,,,,
43,Mick Campbell,"3,750","1,750",500,500,500,500,-,-,-,-,-,,,,,
43,Blake Thornton,"3,750",500,500,500,500,"1,750",-,-,-,-,-,,,,,
1,Kelly Slater,"68,100","10,000","5,200",,-,"10,000","10,000","5,200","8,000","5,200","6,500","1,750","8,000",,,
2,Joel Parkinson,"56,100","4,000","10,000",,"6,500",500,"5,200",500,"5,200","8,000","8,000","5,200","4,000",,,
3,Owen Wright,"47,900","1,750","5,200",,"1,750","8,000","8,000","4,000","1,750","4,000","1,750","5,200","10,000",,,
4,Taj Burrow,"45,700","8,000",500,,"1,750",500,"4,000","5,200","6,500","1,750","4,000","8,000","6,500",,,
5,Adriano de Souza,"44,950","4,000","6,500",,"1,750",500,"5,200",500,"10,000","1,750","1,750","10,000","4,000",,,
6,Michel Bourez,"38,650","4,000","4,000",,"4,000","4,000","1,750","5,200","5,200",500,"6,500","4,000",500,,,
7,Jordy Smith,"38,250","6,500","6,500",,"10,000","1,750",500,"6,500","1,750","1,750","1,750","1,750",500,,,
8,Josh Kerr,"37,750","1,750","1,750",,"5,200","6,500","5,200",500,"1,750","5,200","1,750","5,200","5,200",,,
9,Julian Wilson,"37,100","1,750",500,,"5,200","1,750","6,500","8,000","5,200","1,750","1,750",500,"5,200",,,
10,Alejo Muniz,"33,100","5,200","1,750",,"5,200",500,500,"5,200",500,"6,500","1,750",500,"6,500",,,
11,Mick Fanning,"31,700","1,750","8,000",,"8,000","1,750","5,200","1,750","1,750",500,500,"1,750","1,750",,,
13,Jeremy Flores,"28,200",500,"1,750",,"1,750","5,200","4,000","4,000",-,500,500,"6,500","4,000",,,
13,Damien Hobgood,"28,200",500,"1,750",,"5,200","1,750","4,000","4,000","4,000",500,"1,750","4,000","1,750",,,
15,Kieren Perrow,"26,200",500,"1,750",,"1,750",500,"1,750","1,750",500,"5,200","10,000","1,750","1,750",,,
16,Bede Durbidge,"26,000",500,"4,000",,"4,000",500,500,"1,750","6,500","1,750",500,"6,500",500,,,
16,Adrian Buchan,"26,000","4,000",500,,"6,500","1,750","4,000","4,000",500,"1,750",500,"1,750","1,750",,,
18,Heitor Alves,"24,900","1,750","1,750",,"1,750",500,"6,500",500,"5,200",-,500,"1,750","5,200",,,
19,Brett Simpson,"23,600","5,200",500,,500,"5,200","1,750","1,750","1,750","5,200",500,500,"1,750",,,
20,Matt Wilkinson,"22,400","5,200","1,750",,"1,750","5,200","1,750",500,"1,750","4,000",500,500,500,,,
21,Taylor Knox,"21,500",500,500,,500,"1,750","1,750","6,500","1,750","6,500",500,"1,750",500,,,
22,Jadson Andre,"21,400","1,750","5,200",,"1,750","1,750","1,750","1,750",500,500,500,"1,750","5,200",,,
23,Tiago Pires,"20,250","6,500","4,000",,"1,750","1,750",500,"1,750",500,"1,750",500,500,"1,750",,,
24,Freddy Patacchia Jr.,"18,750","1,750",500,,500,"4,000","1,750",500,"4,000","1,750",500,500,"4,000",,,
25,Chris Davidson,"18,700",500,"5,200",,500,"4,000","1,750",500,"4,000","1,750",500,500,500,,,
26,Kai Otton,"15,500","1,750",500,,"1,750","4,000","1,750","1,750","1,750",500,500,500,"1,750",,,
26,Adam Melling,"15,500","1,750","1,750",,"4,000",500,500,500,500,"1,750","1,750","1,750","1,750",,,
28,Daniel Ross,"15,250","1,750",500,,"4,000",500,500,500,"1,750","1,750",500,"4,000",500,,,
29,Raoni Monteiro,"15,200",500,500,,500,"5,200",500,500,500,"1,750",500,"4,000","1,750",,,
31,C.J. Hobgood,"14,250",500,"4,000",,500,"1,750",-,-,-,-,"4,000","1,750","1,750",,,
32,Dusty Payne,"14,200","5,200",500,,"1,750","1,750",500,500,"1,750",500,"1,750",500,500,,,
33,Patrick Gudauskas,"13,000",500,"1,750",,500,500,500,"1,750",500,"4,000",500,"1,750","1,750",,,
35,Bobby Martinez,"7,450",500,"1,750",,-,-,-,-,-,-,-,"5,200",-,,,
37,Cory Lopez,"6,750","1,750",500,,500,"1,750",-,-,-,-,-,"1,750",500,,,
38,Dane Reynolds,"5,750",500,500,,500,-,500,"1,750",-,500,500,500,500,,,
39,Gabe Kling,"4,250",500,"1,750",,500,500,-,-,-,-,-,500,500,,,
1,Joel Parkinson,"58,700","5,200","6,500",,,"8,000","8,000","6,500","6,500",,"10,000","8,000",,"4,000","5,200",
2,Kelly Slater,"55,450","5,200","8,000",,,"1,750","10,000","10,000","1,750",,"6,500",500,,"10,000","4,000",
3,Mick Fanning,"47,000","1,750","10,000",,,"10,000","6,500","1,750","4,000",,"1,750","6,500",,"6,500",500,
4,John John Florence,"44,350","1,750","4,000",,,"6,500","5,200","6,500","5,200",,"1,750","10,000",,"5,200",500,
5,Adriano de Souza,"42,350","8,000","4,000",,,"1,750","6,500",500,"6,500",,"1,750","5,200",,"5,200","5,200",
6,Taj Burrow,"41,900","10,000","1,750",,,"4,000","5,200","1,750","1,750",,"1,750","4,000",,"5,200","10,000",
7,Gabriel Medina,"41,350",500,"1,750",,,"5,200","4,000","5,200","8,000",,"4,000",500,,"8,000","5,200",
8,Josh Kerr,"38,900","6,500","5,200",,,"1,750","4,000",500,"5,200",,"8,000","6,500",,"1,750",500,
9,Julian Wilson,"35,900","4,000",500,,,"4,000","4,000","1,750","10,000",,"1,750","5,200",,"5,200",500,
10,Owen Wright,"33,600","5,200","5,200",,,"6,500",500,"4,000","5,200",,"1,750","1,750",,"4,000","1,750",
10,Jeremy Flores,"33,600","1,750","6,500",,,"5,200","4,000","1,750","5,200",,"1,750","4,000",,"1,750","5,200",
12,Jordy Smith,"27,900","6,500","5,200",,,500,"5,200","1,750",500,,"1,750","4,000",,"1,750","1,750",
13,C.J. Hobgood,"26,650",500,"4,000",,,"5,200",500,500,"1,750",,"5,200","1,750",,"6,500","1,750",
14,Adrian Buchan,"25,400","5,200",500,,,"1,750","5,200","4,000","4,000",,500,"1,750",,"1,750","1,750",
15,Michel Bourez,"24,250","4,000",500,,,"1,750","1,750","4,000","1,750",,500,"4,000",,500,"6,500",
16,Damien Hobgood,"21,750",500,"1,750",,,"4,000",500,500,500,,"6,500",500,,"4,000","4,000",
17,Miguel Pupo,"19,450","4,000",500,,,"1,750",500,"5,200",500,,"4,000","1,750",,"1,750",500,
18,Alejo Muniz,"18,450",500,500,,,"1,750","1,750","1,750","1,750",,500,"5,200",,"1,750","4,000",
19,Kieren Perrow,"18,200","1,750",500,,,"4,000",500,"5,200","1,750",,"4,000",500,,500,500,
20,Bede Durbidge,"16,250","1,750","1,750",,,500,"1,750","4,000","1,750",,"1,750","1,750",,"1,750","1,750",
22,Kai Otton,"16,200",500,"5,200",,,"1,750","1,750","1,750","1,750",,500,500,,"1,750","1,750",
23,Kolohe Andino,"15,950","1,750",500,,,500,500,"5,200","4,000",,"1,750","1,750",,500,500,
24,Matt Wilkinson,"15,250","1,750","1,750",,,500,"1,750",500,500,,500,500,,500,"8,000",
25,Brett Simpson,"15,000",500,"4,000",,,"1,750","1,750","1,750","1,750",,500,"1,750",,"1,750",500,
26,Yadin Nicol,"14,950","1,750","1,750",,,500,"1,750",500,"1,750",,"5,200",500,,500,"1,750",
27,Heitor Alves,"14,750","4,000",500,,,"1,750","1,750",500,500,,500,"1,750",,"4,000",500,
28,Raoni Monteiro,"13,500","1,750","1,750",,,500,500,500,"4,000",,500,500,,500,"4,000",
29,Tiago Pires,"11,200",500,"1,750",,,500,500,500,500,,395,"5,200",,"1,750",500,
30,Freddy Patacchia Jr.,"10,250","1,750","1,750",,,"1,750",500,"1,750",-,,500,500,,"1,750",-,
31,Taylor Knox,"9,000",500,500,,,"1,750","1,750","1,750",500,,395,500,,500,"1,750",
32,Adam Melling,"7,750","1,750",500,,,500,"1,750",500,500,,500,"1,750",,500,500,
32,Jadson Andre,"7,750",500,"1,750",,,500,500,"1,750",500,,395,500,,500,"1,750",
32,Patrick Gudauskas,"7,750",500,500,,,500,500,"1,750",500,,395,"1,750",,500,"1,750",
32,Dusty Payne,"7,750",500,500,,,500,"1,750",500,"1,750",,395,500,,500,"1,750",
1,Mick Fanning,"54,400","6,500","5,200",,,"6,500","4,000","10,000","5,200",,"6,500","6,500",,"8,000",,"5,200"
2,Kelly Slater,"54,150","10,000","1,750",,,"8,000","1,750","5,200",500,,"10,000","5,200",,"10,000",,"4,000"
3,Joel Parkinson,"48,450","8,000","1,750",,,"4,000","1,750","6,500","6,500",,"6,500","1,750",,"5,200",,"10,000"
4,Jordy Smith,"43,150","1,750","6,500",,,"4,000","6,500","4,000","5,200",,500,"10,000",,"5,200",,"1,750"
5,Taj Burrow,"42,900","5,200","6,500",,,500,"10,000","4,000","4,000",,"1,750","4,000",,"4,000",,"5,200"
6,Julian Wilson,"40,950","5,200","1,750",,,"5,200","8,000","5,200","5,200",,"5,200","1,750",,"1,750",,"5,200"
7,Kai Otton,"39,600","1,750","5,200",,,"6,500","5,200","5,200","10,000",,"4,000","1,750",,"1,750",,"1,750"
8,Nat Young,"38,000","1,750","8,000",,,500,"1,750",500,"8,000",,"4,000","4,000",,"4,000",,"6,500"
9,Josh Kerr,"36,100","1,750","4,000",,,"5,200","5,200",500,"6,500",,"1,750","1,750",,"5,200",,"6,500"
10,John John Florence,"35,150","1,750",500,,,"5,200",500,"5,200","4,000",,"8,000",500,,"6,500",,"4,000"
